Active component type,Active component type formation energy,Active component type density,Active component content (wt percent),Promoter type,Promoter type formation energy,Promoter type density,Promoter content (wt percent),Support a type,Support a type formation energy,Support a type density,Support a content (wt percent),Support b type,Support b type formation energy,Support b type density,Preparation method,Preparation Scalability,Preparation cost,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time (h),Reduced hydrogen content (vol percent),Temperature (C),Pressure (bar),Weight hourly space velocity [mgcat/(min·ml)],Content of inert components in raw materials (vol percent),h2/co2 ratio (mol/mol),co2 conversion ratio (percent),ch4 selectivity (percent),ch4 yield (percent),Reference
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,2.022,93.22,1.885,[1]
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,7.913,94.034,7.441,[1]
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,36.852,95.051,35.028,[1]
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,66.83,96.068,64.202,[1]
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,75.148,96.881,72.804,[1]
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,74.108,95.458,70.742,[1]
Ni,0.046,9.22,15,None,0,0,0,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,70.296,90.169,63.385,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.155,90.576,1.046,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,7.047,92.814,6.541,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,34.079,94.746,32.288,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,63.365,96.169,60.937,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,71.682,96.881,69.446,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,70.296,95.559,67.174,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,15,Al2O3,-3.352,3.87,70,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,68.043,90.271,61.423,[1]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,0.5,4,3,3.195,8.077,0.258,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,10,5,4,3,5.628,22.005,1.238,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,30,5,4,3,18.483,45.082,8.333,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,40,5,4,3,20.379,48.049,9.792,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,3,4,3,63.06,63.312,39.925,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,6,4,3,55.517,55.66,30.901,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,9,4,3,52.953,53.393,28.273,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,12,4,3,50.69,50.955,25.829,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,24,4,3,43.901,44.211,19.409,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,48,4,3,41.638,42.17,17.559,[2]
ReOx,0.004,20.87,2,None,0,0,0,CeO2,-3.755,6.99,98,None,0,0,WI,5,1,500,4,500,1,2,20,340,20,72,4,3,33.491,33.895,11.352,[2]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,200,24,300,1,2,100,200,1,1,10,3.5,4.05,100,4.05,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,300,24,300,1,2,100,200,1,1,10,3.5,6.3,100,6.3,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,400,24,300,1,2,100,200,1,1,10,3.5,7.62,100,7.62,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,500,24,300,1,2,100,200,1,1,10,3.5,26.93,100,26.93,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,200,24,450,1,2,100,200,1,1,10,3.5,6.97,100,6.97,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,200,24,600,1,2,100,200,1,1,10,3.5,12.15,100,12.15,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,300,24,450,1,2,100,200,1,1,10,3.5,7.44,100,7.44,[3]
Ru,0.131,12.32,2.25,None,0,0,0,TiO2,-3.316,3.86,97.75,None,0,0,FM,5,1,300,24,600,1,2,100,200,1,1,10,3.5,8.55,100,8.55,[3]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,250,1,1.1,20,4,7.074,97.087,6.868,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,255,1,1.1,20,4,9.968,97.6977,9.739,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,260,1,1.1,20,4,12.219,97.846,11.956,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,275,1,1.1,20,4,35.37,98.668,34.899,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,300,1,1.1,20,4,73.955,99.008,73.221,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,325,1,1.1,20,4,80.064,99.093,79.338,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,500,3,500,1,1,10,350,1,1.1,20,4,81.029,99.016,80.232,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,250,1,1.1,20,4,30.547,99.168,30.293,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,255,1,1.1,20,4,67.845,99.426,67.456,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,260,1,1.1,20,4,76.206,99.507,75.83,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,275,1,1.1,20,4,84.887,99.577,84.528,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,300,1,1.1,20,4,85.209,99.553,84.828,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,325,1,1.1,20,4,85.852,99.491,85.415,[4]
Ni,0.046,9.22,10,None,0,0,0,CeO2,-3.755,6.99,90,None,0,0,IWI,5,1,25,0,500,1,1,10,350,1,1.1,20,4,84.566,99.362,84.026,[4]
NiO,-1.218,6.76,30,None,0,0,0,CeO2,-3.755,6.99,70,None,0,0,CP,4,3,450,4,450,1,2,60,200,1,2,25,4,2.944,97.28,2.864,[5]
NiO,-1.218,6.76,30,None,0,0,0,CeO2,-3.755,6.99,70,None,0,0,CP,4,3,450,4,450,1,2,60,250,1,2,25,4,18.961,98.4,18.658,[5]
NiO,-1.218,6.76,30,None,0,0,0,CeO2,-3.755,6.99,70,None,0,0,CP,4,3,450,4,450,1,2,60,300,1,2,25,4,57.922,99.04,57.366,[5]
NiO,-1.218,6.76,30,None,0,0,0,CeO2,-3.755,6.99,70,None,0,0,CP,4,3,450,4,450,1,2,60,350,1,2,25,4,68.744,98.72,67.864,[5]
NiO,-1.218,6.76,30,None,0,0,0,CeO2,-3.755,6.99,70,None,0,0,CP,4,3,450,4,450,1,2,60,400,1,2,25,4,68.744,97.6,67.094,[5]
NiO,-1.218,6.76,30,Y2O3,-3.905,5.03,30,CeO2,-3.755,6.99,40,None,0,0,CP,4,3,450,4,450,1,2,60,200,1,2,25,4,3.81,98.72,3.761,[5]
NiO,-1.218,6.76,30,Y2O3,-3.905,5.03,30,CeO2,-3.755,6.99,40,None,0,0,CP,4,3,450,4,450,1,2,60,250,1,2,25,4,41.039,99.46,40.817,[5]
NiO,-1.218,6.76,30,Y2O3,-3.905,5.03,30,CeO2,-3.755,6.99,40,None,0,0,CP,4,3,450,4,450,1,2,60,300,1,2,25,4,70.476,99.36,70.025,[5]
NiO,-1.218,6.76,30,Y2O3,-3.905,5.03,30,CeO2,-3.755,6.99,40,None,0,0,CP,4,3,450,4,450,1,2,60,350,1,2,25,4,77.402,99.332,76.885,[5]
